ex_id	id	example_name	subexample_name	text	tree	sent_len
1	1-3	Lexical	L	ӈа ху маӈла нивх ӿыдь, умгу йиври оғла йиври ӿы нивх во няӄр п’иӈан, чхыф к’у маӈла	-	17	нивх	4	0
2	1-3	Lexical	L	ӈа ху маӈла нивх ӿыдь, умгу йиври оғла йиври ӿы нивх во няӄр п’иӈан, чхыф к’у маӈла	-	17	нивх	11	0
3	4	Lexical	L	чхыф лый маӈла нивх фуру.	-	5	нивх	4	0
4	16-17	Lexical	L	лаӈр̌, ӿиғр, мер нивхгу фувт хаутот, хаутот т’ом маркт’ағари	-	9	нивхгу	4	0
5	47-50	Lexical	L	ӿоӄор ӈырғыр̌ ӄалғала чхыф ӿер̌кух, килмлара ӿар̌, кыпрр̌, алвре ӿар̌, мығр̌ ӿуртивр̌, ӿур̌тиврор озба, нивх мудь фуру.	-	17	нивх	15	0
6	51-52	Lexical	L	нивх муӈан, ичхыф муғыт чхыф илега хур̌ умдь,	-	8	нивх	1	0
7	61-62	Lexical	L	ӿоӄоӈан, йоӻла ӿарор̌, пандр пилӈан, п’ытык налагур̌ к’ыла нивх мудь фуру.	-	11	нивх	9	0
8	1-2	Lexical	L	к'ыск ығркы, р̌а воухлу, нивх нен ньр̌ак ӈа ӈыӈ маӈла нивх п’уру.	-	12	нивх	5	0
9	1-2	Lexical	L	к'ыск ығркы, р̌а воухлу, нивх нен ньр̌ак ӈа ӈыӈ маӈла нивх п’уру.	-	12	нивх	11	0
10	3-5	Lexical	L	ӿы нивх ӿер̌кух, ӈа ӈыӈр видь, т’улф ӿаӈан, чолӈи оӄ ӿизри, п’и п’ундь ғер р̌ора.	-	15	нивх	2	0
11	67-69	Lexical	L	ӿоӄор̌ ӿы нивх, ӿы нивх хер̌кух ӿоӄор̌ тиғрух мығр̌, п’и эньғу ғер иғзра ӿарор, эӄурэӄур эғр видь	-	17	нивх	3	0
12	67-69	Lexical	L	ӿоӄор̌ ӿы нивх, ӿы нивх хер̌кух ӿоӄор̌ тиғрух мығр̌, п’и эньғу ғер иғзра ӿарор, эӄурэӄур эғр видь	-	17	нивх	5	0
13	82-85	Lexical	L	ӿоӈгур̌ ӄаӈгу лель ӿы нивхгу т’ыт ӿаӈан ырк п’ӻаӈгу таф ызд п’ӽандывух имғу т’ор п’ут ӿуртовӿуртовт’аӈан	-	16	нивхгу	5	0
14	89	Lexical	L	ӿы нивх эғр вира.	-	4	нивх	2	0
15	97-103	Lexical	L	ӿоӄот, ӿы нивхгу сык, ӿы во фи нивхгу сык п’р̌ыф, п’р̌орыфку сидьғу п’инёғу сык выкзғыр̌ть, энафтох видь, эна эрирох вит.	-	20	нивхгу	3	0
